If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
Number plate recognition with Tensorflow,A Beginner's Guide To Understanding Convolutional Neural Networks,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Generative Models,Analyzing 50k fonts using deep neural networks,rasbt/python-machine-learning-book,Deep Learning Demystified,ŷhat | Classifying handwritten digits using TensorFlow,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Drupal How-To: Responsive or Adaptive Images? | Acquia,"Machine Learning Can Identify Pixelated Faces, Researchers Show"
NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"STEMTera, uma protoboard com Arduino Uno embutido",Confira as novidades apresentadas no Google I/O 2016,"Fresco, sim! - Android Dev BR",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft",O que é benchmarking? Veja quando um concorrente se torna inspiração!,"SINAIS do FUTURO imediato: #1, internet das coisas","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
Anders Hejlsberg on Modern Compiler Construction (Channel 9),Building a Modern Bank Backend,Apache Spark as a Compiler: Joining a Billion Rows on your Laptop: A deep dive into the new Tungsten Engine.,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Closure Compiler in JavaScript,Being A Developer After 40 - Free Code Camp,17 for '17: Microsoft researchers on what to expect in 2017 and 2027 - Next at Microsoft,Type-based aliasing in C,So long MVP. Hello Minimum Loveable Product.,"Facebook sends a loud message about Messenger bots, but will we hear it?",Microsoft is taking its cues from Facebook as it totally shakes up Office
"Amazon open-sources its own deep learning software, DSSTNE","Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Amazon just released a Dash button for AWS IoT,Why Deep Learning Is Suddenly Changing Your Life,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Google Is About to Supercharge Its TensorFlow Open Source AI,Amazon takes on PayPal and others with launch of Amazon Payments partner program,Why image recognition is about to transform business,"Google Sprints Ahead in AI Building Blocks, Leaving Rivals Wary",Celebrating TensorFlow's First Year,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch
Talking Payments - Article Profile - 93% of banks expect video to boost satisfaction,Digital Tool as Strategic Enabler for Banking Transformation,The Future of Digital Banking is Now,A digital crack in banking's business model,Building a digital-banking business,Why Barclays Sees Banking's Future as an Information Business,Is FinTech Forcing Banking to a Tipping Point?,Mapping the Global NeoBank Landscape - Techfoliance,Banking Needs a Customer Experience Wake-Up Call,Blockchain Will Be Used By 15% of Big Banks By 2017,Facebook wants to change the way Australians use mobile banking
Artem vs. Predator,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,A Single App That'll Wrangle Your Millions of Messengers,A Single App That'll Wrangle Your Millions of Messengers,Raspberry Pi gets an 8-megapixel Sony camera upgrade,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera,"How to build a robot that ""sees"" with $100 and TensorFlow","How to build a robot that ""sees"" with $100 and TensorFlow",A Beginner's Guide To Understanding Convolutional Neural Networks,Inside The iPhone 7: Why Apple Killed The Headphone Jack,Home-Made Twitter and Gmail Notifications with PHP and Arduino
"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Making Sense of Unstructured Data with Google Cloud NL API,The Three Language Acquisition Stages,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",Google's new translation software is almost as good as human translators,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Write Like You Talk
CCR vende dona do Sem Parar por R$ 4 bi | EXAME.com,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",Dasa compra rede de laboratórios SalomãoZoppi,A saga do jovem CEO da Dasa,"Com compra da Estácio, Kroton se torna ""inalcançável"" | EXAME.com","De Zelotes ao ""projeto secreto de TI"": diretores do Bradesco respondem dúvidas do mercado",Por que o Walmart não é Walmart no Brasil,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",A reunião secreta em que Wall Street testou dinheiro digital | EXAME.com,Dasa compra maior rede de laboratórios do Nordeste
Google may unveil Android VR headset at I/O conference,"Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine",VR possibilities at Google I/O 2016: Four things I'm hoping to see,8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Still a virtual reality skeptic? Here's why you shouldn't be,4 Strategies for Mastering UX in Virtual Reality Games,Can virtual reality revolutionise education?,What the Google I/O schedule tells us about the future of Android,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",8 things to expect from Google's biggest event of the year,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",VR possibilities at Google I/O 2016: Four things I'm hoping to see,"Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine","What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Google may unveil Android VR headset at I/O conference,What SWAG will Google I/O 2016 attendees take home?
Time Pressure: Behavioral Science Considerations for Mobile Marketing,Mobile marketing statistics 2016,So long MVP. Hello Minimum Loveable Product.,22 Mobile Stats Everyone Should Know - DZone Mobile,This year's Founders' Letter,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine","Recharge, used to book hotel rooms by the minute, raises $2.3 million",What Google AMP Means for Every Marketer,The Conversational Economy Part 1: What's Causing the Bot Craze?,Amex Canada Discovers 68% More Mobile-Driven Conversions With Cross-Device Measurement,7 Ways to Win Consumers on Their Path to Purchase
1% das empresas dominam 94% das receitas na App Store,A inovação que todos queriam: fone de ouvido que traduz outras línguas,Nubank é considerada uma das marcas mais revolucionárias do mundo,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,O que é benchmarking? Veja quando um concorrente se torna inspiração!,Confira as novidades apresentadas no Google I/O 2016,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
Optimizing Elasticsearch Searches,Build Zappos like faceted navigation with ElasticSearch,A Beginner's Guide To Understanding Convolutional Neural Networks,Aggregations,Better Exposed Filters ,29 Common Google Analytics Data Errors And How To Fix Them,An Introduction to Elasticsearch Aggregations,A Data Engineer's Guide To Non-Traditional Data Storages,Search API,SwiftyDB - An alternative for managing SQLite Databases on iOS,Terms Aggregation in Elastic Search
"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",What the Google I/O schedule tells us about the future of Android,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,8 things to expect from Google's biggest event of the year,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,"Google I/O: Expect A.I., virtual reality","Google I/O 2016: Develop, Grow & Earn",This year's Founders' Letter,What SWAG will Google I/O 2016 attendees take home?
SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Making Sense of Unstructured Data with Google Cloud NL API,Machine Learning is Fun! Part 2,The 200 billion dollar chatbot disruption,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Introducing DeepText: Facebook's text understanding engine,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
Get ready for Google I/O 2016,"Google I/O 2016: Develop, Grow & Earn","Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",[Tools] 12 Apps for Live-streaming Video,What the Google I/O schedule tells us about the future of Android,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,New Sessions Added To Google I/O 2016 Schedule,Bots won't replace apps. Better apps will replace apps.,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,This year's Founders' Letter
The #digital upstarts offering app-only #banking for smartphone users #benchmark,Atom Bank launches app-only savings account for iPhones,App-only bank Atom just launched - here's what it looks like,Digital banking: Mondo hopes to become the Google or Facebook of the sector,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,Building a digital-banking business,"Simple rolls out shared bank accounts that work for anyone, including roommates",Digital Consumers Forced to Open Accounts in Branches,What Is Open Banking and Why is it Important?,A digital crack in banking's business model,Mapping the Global NeoBank Landscape - Techfoliance
New JavaScript library brings Java to browsers without applets,Nashorn: JavaScript made great in Java 8,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"The Languages, Frameworks and Tools You Should Learn in 2017",JavaScript Conquered the Web. Now It's Taking Over the Desktop,Now sites can fingerprint you online even when you use multiple browsers,Java 8 Streams - A Deeper Approach About Performance Improvement,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",Creating Universal Windows Apps with React Native,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Leveling Up Your JavaScript -
Here's proof that Google is getting serious about battling Facebook in a key area,VR possibilities at Google I/O 2016: Four things I'm hoping to see,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google Cloud Platform: The smart person's guide - TechRepublic,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",Google connects BigQuery to Google Drive and Sheets,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",8 things to expect from Google's biggest event of the year,What the Google I/O schedule tells us about the future of Android
Governo brasileiro cria manual para contratação de cloud,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Serviços na nuvem pública mais que duplicam até 2020 - B!T magazine,Por que a limitação da banda larga é uma forma de ignorar o futuro,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",O AC/DC te ensina alocação de recursos,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas",Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Neoliberalismo a ideologia na raiz de todos os nossos problemas
Amazon now has a programmable Dash Button for the IoT,Amazon just released a Dash button for AWS IoT,Amazon Widens Its Push-Button E-Commerce Horizons,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Amazon takes on PayPal and others with launch of Amazon Payments partner program,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,How AWS came to be,The battle for the post-digital world,Amazon founder: A.I.'s impact is,What's the Best Cloud? Probably GCP,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
New Sessions Added To Google I/O 2016 Schedule,Tango: See more with a new kind of phone,What SWAG will Google I/O 2016 attendees take home?,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",What the Google I/O schedule tells us about the future of Android,8 things to expect from Google's biggest event of the year,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC","Google I/O: Expect A.I., virtual reality",Get ready for Google I/O 2016,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,VR possibilities at Google I/O 2016: Four things I'm hoping to see
Python Is Not Java (dirtSimple.org),Python Ecosystem for Machine Learning - Machine Learning Mastery,Java 8 Streams - A Deeper Approach About Performance Improvement,Python Eats Into R as SAS Dominance Fades,Making Apache Spark Easier to Use in Java with Java 8 - Cloudera Engineering Blog,Java 8 Best Practices Cheat Sheet,AEM 6.1 Package Manager Metadata Files,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Scala is the new golden child,"Hello, TensorFlow!",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
"Para neurociência, motivação não é fator principal em mudança de hábitos",Cinco competências comportamentais para você ser um bom líder,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","SINAIS do FUTURO imediato: #1, internet das coisas",Vídeos motivacionais: os 21 vídeos mais incríveis.,Dicas para aumentar produtividade: 14 dicas incríveis.,Gamification - por que somos motivados por mecânicas de jogos - Mochileiro Corporativo,Crianças esquecidas no carro: quando nem a tecnologia pode ajudar | Tecnoblog,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,A saga do jovem CEO da Dasa
"How to Build and Publish ES6 Modules Today, with Babel and Rollup",World's Fastest Growing Open Source Platform Pushes Out New Release,Welcome Google Cloud Platform!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,The Top 10 Most Common Mistakes That Node.js Developers Make,Building an Angular 2 Application for Production,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Um exemplo starter kit para static websites
"Automatic lays off 28% of its workforce, aims for profitability in 2017",Self-Driving Cars and Insurance,"The new, scary face of auto insurance",Land Rover's lead engineer explains autonomous off-road driving,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",State of the Digital Nation 2016,Making digital strategy a reality in insurance,NOW NEW NEXT: How growth champions create new value,The new-world insurance agent,How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO,Uber's first self-driving cars will start picking up passengers this month
Evernote anuncia integração com Google Drive | Google Discovery,Here's how Evernote moved 3 petabytes of data to Google's cloud,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Inbox by Gmail ganha formatação de texto | Google Discovery,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery","Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery",Hangouts para Android ganha opção de mensagens em vídeo | Google Discovery,App do YouTube ganha sistema de bate-papo privado | Google Discovery,Android irá recomendar aplicativos baseado na localização | Google Discovery,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Google começa a preparar o Android para a chegada do Assistant | Google Discovery
9 Useful Apps for Product Managers - Product Hunt,[Select Repost] Scaling the Product Owner Role,Organizing for digital acceleration: Making a two-speed IT operating model work,How to scale yourself: the '99/50/1' framework - The Mission,The 7 Habits of a Highly Effective Product Owner,Building Products,12 Agile principles,How to overcome UX challenges with product design sprints,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,The Real Product Market Fit,So long MVP. Hello Minimum Loveable Product.
Fintechs: elas podem dominar o setor financeiro?,Brasil pode superar EUA em potencial para atuação de fintechs,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",A saga do jovem CEO da Dasa,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
UK shows off prototype of digital iPhone driving license using Apple's Wallet app,Failing model: Plastic Card + App and Card + Wallet Players?,Google will stop supporting physical Google Wallet cards on June 30,The End Of Apps As We Know Them - Inside Intercom,What to Expect at WWDC 2016,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Why your wallet is becoming the next platform,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","Apple, Set to Move to Its Spaceship, Should Try More Moonshots",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
The 'impossible' is now a reality,trendwatching.com | 5 Trends for 2017 | TrendWatching,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,VR possibilities at Google I/O 2016: Four things I'm hoping to see,New smart toothbrush from Philips Sonicare is a true 21st-century product,Here's proof that Google is getting serious about battling Facebook in a key area,Peter Doig sued for disavowing 40-year-old painting,Ikea ponders the future of retail with virtual reality pilot app,The SFMOMA's New App Will Forever Change How You Enjoy Museums,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Picture a Better You: How Google Calendar Uses Illustration to Help You Reach Your Goals - Google Design
Prototypal Object-Oriented Programming using JavaScript,Exploring Java's Hidden Costs,Chrome DevTools - Console API Reference,Inversion of Control Containers and the Dependency Injection pattern,Leveling Up Your JavaScript -,Don't Store Data in the Application Object,Real World Swift Performance,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,12 JavaScript Hacks,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,How to overcome UX challenges with product design sprints
Lentes de contato inteligentes serão o wearable definitivo,Confira as novidades apresentadas no Google I/O 2016,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft","SINAIS do FUTURO imediato: #1, internet das coisas",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Dicas para aumentar produtividade: 14 dicas incríveis.,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Olhando para o futuro: 5 pontos de atenção,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",Pokémon GO e o impacto na experiência do usuário -
Blockchain: o que é e como funciona,Que novas oportunidades poderemos criar com Blockchain? - CIO,A reunião secreta em que Wall Street testou dinheiro digital | EXAME.com,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,[Books] Biblioteca FIXE: Sugestões de Leitura,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Olhando para o futuro: 5 pontos de atenção,Quando o Scrum irá falhar - Tableless
"Smart Managers Don't Compare People to the ""Average""",Blockchain Technology Could Put Bank Auditors Out of Work,Linux at 25: Q&A With Linus Torvalds,So long MVP. Hello Minimum Loveable Product.,Seniority,Facebook Messenger's David Marcus on the rocky rollout of bots,The new tech talent you need to succeed in digital,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Practical Frameworks for Beating Burnout,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac
"Neuroscience confirms that to be truly happy, you will always need something more",[GTD] Forget About Setting Goals. Focus on This Instead.,"Goal Setting: Don't Lose Motivation! "" Mind Tools Blog",Practical Frameworks for Beating Burnout,Bill Gates Recommends These 9 Books to Make You a Better Entrepreneur and a Better Person,So long MVP. Hello Minimum Loveable Product.,The real reasons you procrastinate - and how to stop,8 Things Every Person Should Do Before 8 A.M. - The Mission,8 Insanely Simple Productivity Hacks,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,Picture a Better You: How Google Calendar Uses Illustration to Help You Reach Your Goals - Google Design
8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android,"Rumor: ""Android VR"" Will Launch At I/O With Standalone Headset, Reference Appears In Unreal Engine","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",Google may unveil Android VR headset at I/O conference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,VR possibilities at Google I/O 2016: Four things I'm hoping to see,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",What SWAG will Google I/O 2016 attendees take home?
Meio&Mensagem,Se eu fosse fundar uma nova agência... - Meio & Mensagem,Olhando para o futuro: 5 pontos de atenção,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas",Especialistas trazem tendências de UX para 2017 - KingHost
"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","Thunder, a Drupal distribution for publishers",Are you a bitcoin denialist? - Chris Skinner's blog,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Blockchain CEO's Business Advice on Bitcoin Startups,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Confused by blockchains? Revolution vs Evolution,Blockchain won't kill banks: Bitcoin pioneer,Banks find blockchain hard to put into practice - FT.com,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault
Big data analysis to transform insurance industry - FT.com,The insurance tech equation,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,How Blockchain Technology Can Improve the Insurance Industry,InsurTech: changing the world of risk - Chris Skinner's blog,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",Making digital strategy a reality in insurance,Not Your Father's Insurance Industry - Insurance Thought Leadership,Transforming life insurance with design thinking,The new-world insurance agent,Lessons from Becoming a Data-Driven Organization
Face recognition app taking Russia by storm may bring end to public anonymity,This year's Founders' Letter,Google Is About to Supercharge Its TensorFlow Open Source AI,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,Bots won't replace apps. Better apps will replace apps.,Why image recognition is about to transform business,A Single App That'll Wrangle Your Millions of Messengers,A Single App That'll Wrangle Your Millions of Messengers,Startup uses deep learning to let you shop for items by snapping photos,Ask a Female Engineer: Joining a Startup,How This Former Google Engineer Is Bringing Blockchain to Banks
Cool URIs don't change,Elasticsearch Parent/Child Relationship for Document Security,"""Disrupção não depende da tecnologia, depende das pessoas"": as lições do cofundador do Waze - Startupi",Google Ranking Factors: The Complete List,Joel on Software,The Ultimate Solution to Versioning REST APIs: Content Negotiation,What to look for in a code review ,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,Leveling Up Your JavaScript -,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine"
Brand Marketing is a Growth Hack. Here's the Recipe,NOW NEW NEXT: How growth champions create new value,Why do you Fail at Growth Marketing and How to Solve it,So long MVP. Hello Minimum Loveable Product.,3 Pillars of the Most Successful Tech Products,How to grow your startup with no budget,State of the Digital Nation 2016,A day in the life of... Director of the Unexpected,Why Uber Is Killing the Bank (And What That Means for Everything Else),How AI helps marketers tell better stories,Like It Is: Bob Dylan Explains What Really Killed Rock 'n' Roll
"Google I/O: Expect A.I., virtual reality","Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC",8 things to expect from Google's biggest event of the year,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,What the Google I/O schedule tells us about the future of Android,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,"Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale",This year's Founders' Letter,Report: Google I/O to focus on voice search as Google preps 'Chirp' competitor to Amazon Echo,The battle for the post-digital world
AI learns and recreates Nobel-winning physics experiment,Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Request for Information: Preparing for the Future of Artificial Intelligence,The next AI is no AI,"Google, Amazon and the upcoming battle over AI Assistants",Artificial intelligence is hard to see,Deep learning will be huge - and here's who will dominate it,AI Revolution 101 - AI Revolution,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI",Finding The Meaning Of Artificial Intelligence At Google I/O
"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire","Amazon open-sources its own deep learning software, DSSTNE",Google launches distributed version of its TensorFlow machine learning system,Celebrating TensorFlow's First Year,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine Learning Is No Longer Just for Experts,Google Is About to Supercharge Its TensorFlow Open Source AI,Why Deep Learning Is Suddenly Changing Your Life,Why image recognition is about to transform business,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile
A Major Law Firm Will Soon Be Using A Robotic Lawyer,How to augment your career with leadership coaching,Imagine Discovering That Your Teaching Assistant Really Is a Robot,Million-dollar babies,Captain Fantastic (2016),Clarifying the uses of artificial intelligence in the enterprise,Democratizing AI,Request for Information: Preparing for the Future of Artificial Intelligence,IBM makes a big shift into cognitive computing,Here's how The White House wants the U.S. to approach AI R&D,The next AI is no AI
Transforming life insurance with design thinking,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Making digital strategy a reality in insurance,The insurance tech equation,Linking the customer experience to value,Organizing for digital acceleration: Making a two-speed IT operating model work,Building a digital-banking business,InsurTech: changing the world of risk - Chris Skinner's blog,Why the customer experience matters,The Future of Business is Design,The surprising truth about which countries lead in digital
Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Artem vs. Predator,'Magenta' Is Google's New Project To Make Art With Artificial Intelligence,Machine learning at the museum: this week on Google Cloud Platform,A Single App That'll Wrangle Your Millions of Messengers,A Single App That'll Wrangle Your Millions of Messengers,Introducing the Open Images Dataset,"How to build a robot that ""sees"" with $100 and TensorFlow","How to build a robot that ""sees"" with $100 and TensorFlow",This year's Founders' Letter
