title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[GTD] Forget About Setting Goals. Focus on This Instead.,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Onde está o duplo diamante do DT em projetos ágeis,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais."
Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",O futuro das interfaces: Chatbots - Tableless,Containers are not VMs,Drupal How-To: Responsive or Adaptive Images? | Acquia
"How to build a robot that ""sees"" with $100 and TensorFlow",Google Cloud Platform: The smart person's guide - TechRepublic,15 Interesting JavaScript and CSS Libraries for October 2016,Dark Scrum,Cubr,Visa inaugura centro para inovação em pagamento digital | EXAME.com
How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,Why 2016 is shaping up to be the Year of the Bot,Why Steve Jobs Was Proud to Steal Ideas,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Gmail API: New endpoints for settings,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science
Getting Started with Activity & Fragment Transitions (part 1),Up your app's sharing game with DirectShare - Google Developers,"Facebook details its company-wide machine learning platform, FBLearner Flow",AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,StrictMode for Runtime Analysis on Android - Google Developers,Building more accessible technology
Digital transformation in the Premier League: Southampton FC's fan-first strategy,Failing model: Plastic Card + App and Card + Wallet Players?,IBM Watson e a revolução pela inteligência artificial | Udacity,"Docker - Build, Ship, and Run Any App, Anywhere",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,Google's new translation software is almost as good as human translators
Building more accessible technology,"Facebook details its company-wide machine learning platform, FBLearner Flow",Gmail API: New endpoints for settings,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Up your app's sharing game with DirectShare - Google Developers,Designing smart notifications
Documentando uma API JAX-RS com Swagger,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,Spring Boot 1.5.1 released,Say Hello to React CDK - KADIRA VOICE,What to Inspect When You are Inspecting!,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog
Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,AI Revolution 101 - AI Revolution,Microsoft's Open Source Love Affair Reaches New Heights,IBM's Watson aims to make hospital stays suck a whole lot less
So long MVP. Hello Minimum Loveable Product.,Post: Just Say mNo to Hungarian Notation,Readable Content Guides,Sam Newman - Backends For Frontends,The Importance of Code Reviews,The Joel Test: 12 Steps to Better Code
Engineering Digital Banking Solutions Using UX Methodology,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,"XP lançará robô que seleciona melhores investimentos para clientes, diz CEO",Taco Bell chega ao Brasil no segundo semestre desse ano
This startup uses machine learning and satellite imagery to predict crop yields,Apple and Google Are Teaming Up to Kill Robocalls Forever,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs","How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Google Cloud Goes to the Farm,The emerging Darwinian approach to analytics and augmented intelligence
"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,O que você deve fazer para se tornar um líder melhor?,What Millennials Want from a New Job
Google lança YouTube Kids no Brasil | Google Discovery,This Super Accurate Portrait Selection Tech Uses Neural Networks,Arduino clone is as small as an AA battery,Google is quietly making progress on one of its most jaw-dropping tech projects,Exclusive: Why Microsoft is betting its future on AI,Powering a more connected and collaborative enterprise
8 Books Stanford MBAs Recommend You Read This Summer,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,[Retro] Celebration Grids - Management 3.0,12 Best Slack Communities for Every Professional,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
LukeW | Obvious Always Wins,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Adulterated Objective-C,How Apple Keyboards Lost a Logo and Windows PCs Gained One,What to Expect at WWDC 2016
3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",Tipos de teste com usuários explicados em GIFs,Sua comunidade de Teste.,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,My Approach to Mobile Accessibility Testing - Ministry of Testing
Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes,Google releases keyboard for the iPhone with built-in search features,O WhatsApp do Google chegou e se chama Allo,The 100 (TV Series 2014- ),"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Acesse a versão Material Design do YouTube | Google Discovery
Program your way to your next grocery delivery,Comprar roupas está ficando fora de moda no Reino Unido,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,[Retro] Celebration Grids - Management 3.0,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire"
"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,An operating model for company-wide agile development
The Broken Window Theory,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%)
Top 10 contributing customers,Jeff Seguros: SEGUROS E GAMES,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Welcome Google Cloud Platform!,Paragraphs,How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO
Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,Manage Client-Side Packages with Bower - ASP.NET documentation,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,4 Blockchain Macro Trends: Where to Place Your Bets,Windows Subsystem for Linux Overview,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",18 frases que as mulheres precisam parar de falar umas para as outras - UOL Estilo de vida,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,Workplace diversity in Brazil: there's still a long way to go,Write Like You Talk,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
The Language of Beauty Ads,#iLookLikeAnEngineer: One Year Later,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Write Like You Talk,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,The Genderbread Person v3 | It's Pronounced Metrosexual
Android Developers Summer Reading List,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Uber's first self-driving cars will start picking up passengers this month,RecyclerView Prefetch - Google Developers,Programação Reativa Funcional com RxJava
Clean Coder Blog,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com,How AWS came to be,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net"
"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment",How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,An operating model for company-wide agile development,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess
Nespresso,Why image recognition is about to transform business,Google Cloud Goes to the Farm,Mobile marketing statistics 2016,"Google launches Springboard, an AI-powered assistant for its enterprise customers","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
"Cloud Shell now GA, and still free",Top 10 GCP sessions from Google I/O 2016,"Thunder, a Drupal distribution for publishers","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery","Waterwheel, the Drupal SDK Ecosystem",Announcing pricing for Google Stackdriver
How bot-to-bot could soon replace APIs,Machine Learning as a Service: How Data Science Is Hitting the Masses,Adobe CQ/Adobe AEM,The rise of APIs,Tensorflow wins,Assessing Salesforce's platform and ecosystem | ZDNet
Life Beyond Email: Chatbot Marketing,Kickstarter 3D printer will print circuit boards as part of your designs,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Most Interesting APIs in 2016: Cognitive Computing,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,Google's new translation software is almost as good as human translators
Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Como resolver conflitos no ambiente corporativo us,O que você deve fazer para se tornar um líder melhor?,Lean IT is all about people - o Lean na TI é focado em pessoas
Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,The Developer's Midlife Crisis: What's Next?,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever"
How it feels to learn Javascript in 2016,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Visual Studio Code Now Supports Debugging of iOS Web Apps,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
Five questions boards should ask about IT in a digital world,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Latin America's chronic inefficiency could drive more O2O commerce growth,IBM makes a big shift into cognitive computing,35 Innovative and Inspirational Website Designs in Banking
Introducing LambCI - a serverless build system,"Código Google: Provedor de segurança ""Crypto"" descontinuado no Android N",On DRY and the cost of wrongful abstractions,Monitoramento em tempo real com Elasticsearch e Kibana,10 Modern Software Over-Engineering Mistakes,Build Apps Faster with Salesforce - Webinar
Microservices: Real Architectural Patterns,SOA com microserviços - Sensedia,Taking Microservices Home - NGINX,Migrating to the New Java 8 Date Time API | Baeldung,Learn Microservices in Java - DZone - Refcardz,Dicas para aumentar produtividade: 14 dicas incríveis.
"Incrível, Skype se lembrou que o Linux existe!","Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Practical VPC Design - AWS Startup Collection,Firebase and Google Cloud: better together,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Google Cloud Platform's preemptible VMs are now up to 33% cheaper
Promoting gender equality through emoji �� ��,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",#iLookLikeAnEngineer: One Year Later,Concurso Literário Leia Mulheres + Sweek | Sweek,A importância dos filmes de mulherzinha - Capitolina,Criadas para casar
Google começa a preparar o Android para a chegada do Assistant | Google Discovery,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Slack and Google announce partnership focused on better integrating their services,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Readable Content Guides,So long MVP. Hello Minimum Loveable Product.
A saga do jovem CEO da Dasa,Dasa compra maior rede de laboratórios do Nordeste,Onde a tecnologia e o cuidado se encontram? - Saúde Business,The omnichannel customer experience is poised to take off in regulated industries,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
What's the Version of my Deployed Application? - DZone DevOps,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%)
Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Taco Bell chega ao Brasil no segundo semestre desse ano,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Marketplace,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Build Apps Faster with Salesforce - Webinar
"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"The new, scary face of auto insurance",The new tech talent you need to succeed in digital,Mobile Time,6 exemplos de como usar computação cognitiva | EXAME.com
"""We only hire the best"" - Signal v. Noise",The best-and worst-places to be a working woman,7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides,The Hateful Eight (2015),Everything you need to know about the big changes coming to Newark airport
Communication patterns in a Microservice world,Arquitetura de Microserviços habilitando APIs - Sensedia,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,What makes a good (Android) Software Engineer,How to build cross-platform mobile apps using nothing more than a JSON markup
"""Não, você não aceita a homossexualidade ainda...""",MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,Google HR chief Laszlo Bock leaving to launch startup,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Brasileira do rúgbi é pedida em casamento durante premiação
"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,To bot or not to bot,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,Amazon just released a Dash button for AWS IoT,One Dollar Board: Um projeto brasileiro para revolucionar a educação,How to finish 3D printed PLA objects
[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Framework] Lean IT Governance
"Inbox by Gmail: a better way to keep track of events, newsletters and links",Google is quietly recording everything you say. Here's how to hear it,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery",OpenVpn rodando com Docker no Raspberry Pi,"Google Drive grows more powerful, feature by feature - TechRepublic",The 'impossible' is now a reality
Artificial intelligence is changing SEO faster than you think,Artificial Intelligence's White Guy Problem,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The return of the machinery question,7 lessons about finding the work you were meant to do
Being A Developer After 40 - Free Code Camp,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",What Pinterest learned in two years working on its search engine,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot,Ordering coffee in Italy: the 10 commandments
How Coca-Cola Is Harvesting Innovation Energy From Startups,Top 30 Commonly Confused Words in English,Portugal runs for four days straight on renewable energy alone,These Are The 10 Most Purchased Brands in the World,Google Ranking Factors: The Complete List,Live asynchronously.
"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,Introducing Kotlin support in Spring Framework 5.0,Taking Microservices Home - NGINX,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
O futuro das interfaces: Chatbots - Tableless,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Building immutable entities into Google Cloud Datastore,Aplicações da Inteligência artificial | Endeavor Brasil,Machine Learning and the VP Debate
MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,The surprising truth about which countries lead in digital,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,The new tech talent you need to succeed in digital,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search
Research at Google,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Behind Facebook Messenger's plan to be an app platform,Introducing JQL: A Query Language for Analytics,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science
Machine Learning and the VP Debate,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Why Steve Jobs Was Proud to Steal Ideas,Gmail API: New endpoints for settings,5 reasons your employees aren't sharing their knowledge,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool
Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,How to Create an Exponential Mindset,Cientistas trabalham em técnica que permite imprimir alimentos,The future of agriculture - Jim Womack visits a lean farm
The Genderbread Person v3 | It's Pronounced Metrosexual,Introducing Ask a Female Engineer,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Write Like You Talk
The next wave in software is open adoption software,A new sales technology stack is coming,Microsoft's Open Source Love Affair Reaches New Heights,Announcing pricing for Google Stackdriver,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Docker 1.12: Now with Built-in Orchestration!
WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas,React Native v0.32.0-rc.0 released
Concrete things you can do about your technical debt,The sales secrets of high-growth companies,Don't document your code. Code your documentation.,Como testar exceções em Java com o JUnit - Code a Test,"DevOps security requires new mindset and tools for visibility, automation",Mastering Bash and Terminal
The Top 10 Most Common Mistakes That Node.js Developers Make,Docker Cleanup Scripts Comparison,The future of SaaS hosted git repository pricing,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,GitHub on BigQuery: Analyze all the open source code,Tendências do Marketing de Conteúdo 2016
"[Tools] Personal Kanban in ""Favro""",Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far),We spent a week making Trello boards load extremely fast. Here's how we did it.,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Security] How to Set Expiration Dates for Shared Google Drive Files
Agile: Falta competência nos testes,Como Usar o Git e o GitHub,Top 5 Android Testing Frameworks with Examples,Blockchain won't kill banks: Bitcoin pioneer,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú","Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api"
Design Kit: Prototyping,MOBILE TIME - Nascem os primeiros chatbots brasileiros,The #digital upstarts offering app-only #banking for smartphone users #benchmark,Conversational Banking; from branches to bots. - Chatbots Magazine,"Amazon looking to buy Capital One? "" Banking Technology",Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
40 Basic Japanese conversations,Japanese for dummies,The Great Library,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Platform Overview,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels
A step-by-step guide to agile growth experiments,Skully officially admits it's over,Unilever Buys Dollar Shave Club for $1 Billion,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth
What to Inspect When You are Inspecting!,Serverless Architectures,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,The Internet of Things is looking for its VisiCalc,Google is testing a new Material Design layout for desktop searches,Bringing Pokémon GO to life on Google Cloud
"Google Drive grows more powerful, feature by feature - TechRepublic","contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object","Inbox by Gmail: a better way to keep track of events, newsletters and links",Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"Inbox by Gmail ganha integração com Trello, GitHub e Google Alerts | Google Discovery"
20+ Docs and Guides for Front-end Developers (No. 9),Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,CSS Containment in Chrome 52 | Web Updates - Google Developers
BDD Best Practices and Guidelines - Testing Excellence,Como Usar o Git e o GitHub,Java 9 na prática: Jigsaw,Sua comunidade de Teste.,Dicas avançadas de ruby (capybara/cucumber),3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web
IBM's Watson aims to make hospital stays suck a whole lot less,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Cognitive Services-Intelligence Applications | Microsoft Azure,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Can virtual reality revolutionise education?
bliki: StranglerApplication,Creating Your Code Review Checklist - DaedTech,Dr. consulta: uma revolução no setor da saúde,The Ultimate Solution to Versioning REST APIs: Content Negotiation,The hardest thing in computer science,On DRY and the cost of wrongful abstractions
Coder | Drupal.org,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Paragraphs,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
6 exemplos de como usar computação cognitiva | EXAME.com,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Mobile Time,The new tech talent you need to succeed in digital,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
Meet the new Brazilian consumer,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The sales secrets of high-growth companies,IBM makes a big shift into cognitive computing
Aplicações da Inteligência artificial | Endeavor Brasil,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Building immutable entities into Google Cloud Datastore,Machine Learning and the VP Debate,O futuro das interfaces: Chatbots - Tableless
18 frases que as mulheres precisam parar de falar umas para as outras - UOL Estilo de vida,"020 - Carine Roos: 33 dias sem machismo, MariaLab, Upwit e os desafios das mulheres na tecnologia",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,The Language of Beauty Ads,Google employees are adding 'Lady' to their job titles to fight sexism
Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Apple gives devs the chance to harness power of neural networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",New MacBook Pro is not a Laptop for Developers Anymore,Berners-Lee quer criar outra Web,The future of SaaS hosted git repository pricing
Scala is the new golden child,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",New Sessions Added To Google I/O 2016 Schedule
Uber's first self-driving cars will start picking up passengers this month,Qual é o país mais inovador do mundo?,"The Languages, Frameworks and Tools You Should Learn in 2017",Android Developers Summer Reading List,Google's artificial intelligence is going in the wrong direction,Today in Apple history: Steve Jobs passes away | Cult of Mac
The Democratization of Innovation for the Internet of Things,LukeW | Obvious Always Wins,Amazon now has a programmable Dash Button for the IoT,"Android N Developer Preview 2, out today! | Android Developers Blog",Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7"
Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Google começa a preparar o Android para a chegada do Assistant | Google Discovery,Introducing Casting into Hangouts,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Google's Hangouts still has a future: as an enterprise communication app,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery"
Introducing Google Container Engine (GKE) node pools,Paragraphs,Cross-channel user experiences with Drupal (awesome video demo!),"Big data, big differentiators: this week on Google Cloud Platform",Machine learning at the museum: this week on Google Cloud Platform,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform"
Google is quietly making progress on one of its most jaw-dropping tech projects,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Former NASA chief unveils $100 million neural chip maker KnuEdge,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Chrome OS now has Material Design for the desktop,Google lança YouTube Kids no Brasil | Google Discovery
Dries Distributions remain a growing opportunity for Drupal - Buytaert,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,"Thunder, a Drupal distribution for publishers",20 Awesome PHP Libraries For Early 2017
